"Island ID","SR","A","I","PD","MPD","sesMPD","FD","FD_MPD","sesFD_MPD"
"S01",66,3.110331187,897.41,2.948611048,0.224109301,0.861884518,6.967969154,0.467602113,0.393320791
"S02",59,2.155920381,1415.09,2.668410467,0.221647826,0.320665306,6.815979637,0.471187097,0.578881009
"S03",68,2.037550503,964.97,3.013944132,0.219327879,0.023628081,7.483042759,0.475912935,1.17359927
"S04",54,1.741006619,953.95,2.28016146,0.208289985,-1.502912246,6.168753231,0.471825718,0.563785437
"S05",48,1.666235956,729.8,2.188033768,0.213295912,-0.711667125,5.871943222,0.485265021,1.30462159
"S06",40,1.50911387,1936.95,1.852287614,0.212606571,-0.660502305,4.89605937,0.47761886,0.716091974
"S07",30,1.079904468,2163.768092,1.454831237,0.21012946,-0.729452323,3.872518671,0.483315266,0.788224245
"S08",35,0.462395128,1785.3,1.749787562,0.210746948,-0.796115349,4.805532315,0.489234922,1.205613911
"S09",35,0.452143474,1238.14,1.738153815,0.203855683,-1.412824651,4.276286532,0.463005074,-0.040193561
"S10",29,0.406994107,3097.01781,1.743031161,0.221372586,0.163472108,4.236278522,0.483507649,0.813830536
"S11",19,0.348854443,3261.96,1.307149968,0.21462191,-0.291547295,2.85803303,0.485346572,0.718584023
"S12",34,0.240007436,2293.25,1.7616561,0.204003954,-1.338685882,4.51300046,0.478500842,0.650529742
"S13",31,0.188799743,711.04,1.442002432,0.202800266,-1.355385784,4.079115046,0.470953105,0.308118549
"S14",28,0.186080086,219.0750526,1.707935286,0.215239668,-0.3137359,3.859340725,0.479115605,0.661150253
"S15",26,0.183093765,849.88,1.406990038,0.212336519,-0.520163046,3.537817925,0.465846073,0.135907921
"S16",28,0.145909892,1760.34,1.497319796,0.209867338,-0.753431939,3.454153613,0.453402912,-0.32933498
"S17",34,0.098735996,3547.036676,1.839361207,0.213368,-0.516691411,4.523253775,0.491430627,1.28265354
"S18",26,0.080075172,657.72,1.531111718,0.212599947,-0.490637812,3.306477907,0.465963707,0.05471382
"S19",36,0.079925958,2128.52,1.768897312,0.209125822,-1.01934403,4.927794569,0.488427697,1.192132369
"S20",22,-0.015607288,3133.96,1.369970923,0.214685818,-0.272312825,3.137298131,0.475476202,0.462865926
"S21",28,-0.079383902,2298.5,1.525600331,0.215912508,-0.277149093,3.957592568,0.485913551,0.912815249
"S22",26,-0.176431212,1139.87,1.530679191,0.205503713,-0.980950913,3.54666949,0.459024069,-0.088259984
"S23",27,-0.193820026,2356.098976,1.685531998,0.226222004,0.551561692,3.851863563,0.474410133,0.399953166
"S24",21,-0.228507921,640.53,1.252152495,0.207442182,-0.768337673,2.973430336,0.480360814,0.542889358
"S25",22,-0.231978882,684.5528381,1.406906848,0.218456424,-0.056307391,3.589525226,0.499418244,1.26505597
"S26",18,-0.458046526,1116.417247,1.129879802,0.211307327,-0.462429742,2.634094638,0.483156022,0.560631828
"S27",21,-0.463652022,1086.220266,1.419945676,0.213592094,-0.349960389,3.221292389,0.484083794,0.722635529
"S28",17,-0.516270101,3399.597478,1.194177505,0.200241569,-1.066395993,2.287197667,0.426564191,-0.97561246
"S29",19,-0.644867885,1180.208797,1.206635601,0.203005345,-0.990247873,2.471696871,0.4645782,0.075527657
"S30",11,-0.782077596,2975.908257,0.932481713,0.216551599,-0.125046399,2.009635558,0.506107836,0.923310968
"S31",13,-0.793803993,3173.354113,0.920821667,0.182798756,-1.676972166,1.73126939,0.436332248,-0.611504832
"S32",22,-0.838133095,558.7274798,1.342756455,0.208476255,-0.719962148,3.040948403,0.463369972,0.027133112
"S33",13,-0.87658396,1788.795771,0.900612964,0.192003658,-1.300025921,1.877706758,0.452444355,-0.264566437
